"audio","label","labels","human_label","human_labels","path","dataset_source","split","env","emergency","file_exists","audio_format","duration","sample_rate","channels","bit_depth","bit_velocity","size","date_modification"
"40517.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/40517.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"420945.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/420945.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"420946.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/420946.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"420947.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/420947.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"86100.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/86100.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64741.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64741.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"40523.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/40523.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64743.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64743.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64744.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64744.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"40525.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/40525.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"51319.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/51319.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64746.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64746.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"5318.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/5318.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"4258.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/4258.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"4259.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/4259.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"4260.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/4260.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"4261.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/4261.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"4262.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/4262.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"4263.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/4263.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"4264.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/4264.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"4265.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/4265.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"4266.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/4266.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"4267.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/4267.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"4268.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/4268.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"4269.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/4269.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"4270.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/4270.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"4272.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/4272.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64757.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64757.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"4276.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/4276.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"4277.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/4277.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"4278.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/4278.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"4279.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/4279.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"4280.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/4280.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"4281.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/4281.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"4283.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/4283.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"4284.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/4284.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"4285.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/4285.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"4286.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/4286.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"4287.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/4287.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"4288.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/4288.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"4289.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/4289.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"5314.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/5314.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"4290.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/4290.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"4291.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/4291.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"5310.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/5310.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64703.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64703.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"5312.wav","/m/02sgy","[""/m/02sgy"", ""/m/018vs"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""bass"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/5312.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64704.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64704.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64706.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64706.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64707.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64707.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64708.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64708.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"5315.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/5315.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"5317.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/5317.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64711.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64711.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64712.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64712.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64714.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64714.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64715.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64715.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64717.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64717.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64718.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64718.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64720.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64720.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64721.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64721.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64722.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64722.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64723.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64723.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64724.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64724.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64725.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64725.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64726.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64726.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64727.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64727.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64728.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64728.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64729.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64729.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64730.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64730.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64731.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64731.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64732.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64732.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64733.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64733.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64734.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64734.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64736.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64736.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64737.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64737.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64738.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64738.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"5350.wav","/m/02sgy","[""/m/02sgy"", ""/m/018vs"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""bass"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/5350.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"5351.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/5351.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"193768.wav","/m/02sgy","[""/m/02sgy"", ""/m/018vs"", ""/m/0bm0k"", ""/m/03qtq"", ""/m/0bm02"", ""/m/026t6"", ""/m/06rvn"", ""/m/02hnl"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf"", ""/m/0l14md"", ""/m/01qbl""]","guitar","[""guitar"", ""bass"", ""percussion"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/193768.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64739.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64739.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64740.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64740.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"64747.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/64747.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"266476.wav","/m/02sgy","[""/m/02sgy"", ""/m/018vs"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""bass"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/266476.wav","zenodo","train","indefinida","False","False","","","","","","","",""
"5357.wav","/m/02sgy","[""/m/02sgy"", ""/m/0342h"", ""/m/0fx80y"", ""/m/04szw"", ""/m/04rlf""]","guitar","[""guitar"", ""strings"", ""Musical_instrument"", ""Music""]","zenodo/5357.wav","zenodo","train","indefinida","False","False","","","","","","","",""
